total_amount
21.95
13.3
10.56
11.8
30.3
56.35
26.0
12.8
18.05
8.8
12.3
8.3
8.3
18.36
13.56
11.8
20.75
15.35
6.3
20.15
17.75
12.95
14.05
14.15
23.14
28.56
16.8
55.32
9.3
17.3
20.16
22.2
16.55
41.05
19.8
28.99
11.76
78.85
20.3
12.55
28.67
10.3
12.96
12.8
23.8
38.93
61.1
9.8
22.55
21.95
22.55
11.8
17.3
24.96
11.76
30.29
27.96
15.8
11.3
15.96
14.76
19.89
9.3
9.8
9.96
9.8
11.62
18.8
24.96
30.0
31.85
17.3
10.3
67.85
14.1
16.55
26.76
9.79
9.3
12.36
19.3
15.3
14.76
27.36
11.76
16.56
42.65
9.36
57.66
14.76
35.24
13.8
12.35
27.8
9.3
8.8
12.36
25.8
22.55
3.8
14.8
28.8
8.3
11.44
16.56
8.3
11.3
29.76
16.56
48.55
8.8
13.3
13.5
14.8
25.4
51.06
19.8
11.3
32.76
20.1
28.34
11.16
16.0
23.76
8.3
15.3
28.8
8.3
67.85
24.02
31.8
17.8
10.42
29.3
13.8
4.8
16.64
15.95
13.3
8.76
12.8
26.65
19.89
13.3
45.42
23.55
16.8
25.3
11.8
36.36
22.3
15.99
11.44
14.8
11.8
24.35
12.35
13.55
15.96
10.3
20.75
54.05
14.15
14.3
30.25
12.3
23.76
27.0
17.75
16.83
33.96
21.35
17.16
13.56
16.8
20.76
24.36
8.8
36.8
14.75
17.75
25.8
13.56
10.56
23.16
8.3
16.63
33.12
11.76
17.16
16.8
21.96
14.8
12.8
30.3
28.3
23.76
11.76
19.12
19.3
19.56
9.0
19.8
17.9
71.16
15.8
26.0
15.8
19.75
14.75
21.3
10.8
24.36
27.8
17.16
15.96
19.8
17.76
10.0
11.16
24.8
14.16
8.8
20.76
20.76
14.8
21.19
26.0
63.75
8.8
8.8
26.66
11.9
23.76
35.05
26.3
21.84
14.76
21.8
23.16
12.25
25.72
10.56
26.16
33.54
15.36
20.3
22.8
18.3
34.12
38.55
31.3
10.8
12.3
14.3
14.04
13.56
30.36
17.75
24.75
21.96
21.36
8.8
9.96
11.76
19.3
8.3
50.4
65.6
17.55
15.96
9.96
10.38
10.8
63.1
8.8
16.8
28.95
43.55
17.16
20.76
15.3
15.35
21.3
8.8
11.3
8.8
63.6
17.76
18.8
11.8
7.8
18.96
13.0
28.8
19.8
14.76
9.8
23.8
23.76
20.3
15.36
7.3
11.75
8.3
12.3
31.3
9.8
35.38
22.25
20.75
19.8
21.3
11.3
15.96
25.3
14.76
13.57
11.8
21.96
26.8
23.76
11.8
10.8
26.16
23.92
29.13
15.3
16.6
9.3
13.55
19.85
18.8
16.0
18.3
33.5
15.87
16.3
11.3
10.3
13.8
26.16
11.8
9.3
10.3
21.36
15.3
13.5
13.56
31.55
18.36
15.96
31.8
21.8
24.36
9.8
13.56
25.56
9.3
20.75
20.15
9.96
18.95
17.76
14.6
21.96
8.8
40.92
15.87
36.96
15.95
16.45
19.24
26.0
17.94
13.3
15.3
8.8
10.8
18.5
38.16
24.36
15.3
20.8
20.15
