total_amount
6.3
11.76
12.95
61.1
14.76
8.8
19.8
38.93
19.89
18.8
27.8
9.79
26.76
12.96
23.8
11.62
15.96
9.96
26.0
23.14
24.96
14.1
22.55
28.67
13.56
31.85
9.3
9.36
14.76
8.3
