duration_min,trip_distance,extra,passenger_count_1,passenger_count_2,passenger_count_3,passenger_count_4,passenger_count_5,passenger_count_6,RatecodeID_1,RatecodeID_2,PULocationID_107,PULocationID_113,PULocationID_114,PULocationID_132,PULocationID_137,PULocationID_138,PULocationID_141,PULocationID_142,PULocationID_148,PULocationID_161,PULocationID_162,PULocationID_164,PULocationID_166,PULocationID_170,PULocationID_211,PULocationID_233,PULocationID_234,PULocationID_236,PULocationID_237,PULocationID_238,PULocationID_239,PULocationID_246,PULocationID_249,PULocationID_262,PULocationID_263,PULocationID_4,PULocationID_43,PULocationID_45,PULocationID_48,PULocationID_50,PULocationID_68,PULocationID_7,PULocationID_70,PULocationID_79,PULocationID_90,DOLocationID_10,DOLocationID_107,DOLocationID_112,DOLocationID_113,DOLocationID_137,DOLocationID_140,DOLocationID_141,DOLocationID_142,DOLocationID_148,DOLocationID_151,DOLocationID_152,DOLocationID_153,DOLocationID_161,DOLocationID_163,DOLocationID_166,DOLocationID_168,DOLocationID_170,DOLocationID_186,DOLocationID_229,DOLocationID_233,DOLocationID_236,DOLocationID_237,DOLocationID_238,DOLocationID_239,DOLocationID_24,DOLocationID_243,DOLocationID_246,DOLocationID_249,DOLocationID_261,DOLocationID_262,DOLocationID_263,DOLocationID_36,DOLocationID_4,DOLocationID_41,DOLocationID_42,DOLocationID_43,DOLocationID_45,DOLocationID_47,DOLocationID_48,DOLocationID_61,DOLocationID_68,DOLocationID_7,DOLocationID_74,DOLocationID_79,DOLocationID_87,DOLocationID_90,DOLocationID_92,payment_type_1,payment_type_2,payment_type_3,payment_type_4,pickup_month_1,pickup_day_6,pickup_hour_0,pickup_hour_1,pickup_hour_18
-1.0953765,-0.9041253,-0.7348069,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0
-1.0840167,-0.61108476,-0.7348069,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0
-0.69967544,-0.6447973,1.3424953,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0
1.5590386,4.100902,0.30384418,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0
-0.74700814,-0.46067464,-0.7348069,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0
-1.1124163,-0.75371504,-0.7348069,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0
-0.4099996,0.38732737,-0.7348069,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0
0.13716583,1.0849192,-0.7348069,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0
-0.09571084,-0.3673166,-0.7348069,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0
158.51222,-0.17022745,-0.7348069,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0
