total_amount
9.8
12.3
20.75
14.05
15.8
9.8
17.3
17.3
24.96
10.3
12.8
11.76
13.8
12.36
18.36
17.3
55.32
21.95
20.16
57.66
30.29
28.99
78.85
19.3
8.8
9.3
11.8
16.8
8.3
11.76
16.55
16.56
35.24
41.05
15.35
27.36
30.3
56.35
30.0
10.56
28.56
11.3
14.76
18.05
13.3
22.2
22.55
21.95
17.75
42.65
16.55
10.3
15.3
12.8
11.8
11.8
12.35
9.8
9.3
12.36
27.96
67.85
20.3
20.15
14.15
9.3
12.55
